stop_id,stop_name,lon,lat
U388Z1P,"Nádraží Modřany",14.403307,50.004581
U76Z1P,"Modřanská škola",14.403053,50.009224
U19Z1P,"Belárie",14.401881,50.013611
U71Z1P,"Černý kůň",14.403732,50.023079
U449Z1P,"Nádraží Braník",14.405406,50.029251
U387Z1P,"Pobřežní cesta",14.407448,50.034206
U614Z1P,"Přístaviště",14.409638,50.040314
U110Z1P,"Dvorce",14.414384,50.047726
U303Z1P,"Kublov",14.418122,50.054398
U583Z1P,"Podolská vodárna",14.419362,50.059887
U878Z1P,"Výtoň",14.415007,50.068123
U237Z7P,"Palackého náměstí",14.414109,50.072506
U237Z5P,"Palackého náměstí",14.415247,50.073231
U997Z2P,"Lazarská",14.421011,50.079067
U484Z2P,"Vodičkova",14.423432,50.080036
U1072Z2P,"Václavské náměstí",14.425733,50.081963
U203Z2P,"Jindřišská",14.430784,50.085320
U480Z4P,"Masarykovo nádraží",14.432579,50.088272
U32Z2P,"Bílá labuť",14.436262,50.090351
U689Z2P,"Florenc",14.439999,50.091427
U854Z2P,"Karlínské náměstí",14.446132,50.092781
U758Z2P,"Křižíkova",14.451098,50.093868
U816Z2P,"Urxova",14.457097,50.095215
U655Z2P,"Invalidovna",14.465190,50.097832
U529Z4P,"Palmovka",14.473170,50.104504
U471Z2P,"Libeňský zámek",14.472365,50.108589
U779Z2P,"U Kříže",14.475762,50.112373
U861Z2P,"Vosmíkových",14.472973,50.114330
U54Z2P,"Bulovka",14.467761,50.116543
U870Z2P,"Vychovatelna",14.463839,50.119236
U514Z2P,"Okrouhlická",14.459915,50.119770
U249Z2P,"Ke Stírce",14.456153,50.122986
U675Z2P,"Kobylisy",14.456691,50.124943
U67Z4P,"Čechovo náměstí",14.458237,50.067863
U391Z1P,"Vršovické náměstí",14.454220,50.069157
U627Z1P,"Ruská",14.451273,50.071659
U301Z1P,"Krymská",14.446995,50.071980
U354Z1P,"Jana Masaryka",14.440681,50.073513
U476Z1P,"Náměstí Míru",14.435997,50.075008
U190Z1P,"I. P. Pavlova",14.430594,50.075539
U739Z1P,"Štěpánská",14.422432,50.075687
U237Z3P,"Karlovo náměstí",14.419612,50.075901
U901Z2P,"Zborovská",14.407204,50.072430
U1040Z2P,"Anděl",14.402808,50.071953
U302Z2P,"Křížová",14.404675,50.062965
U1044Z2P,"Braunova",14.401200,50.061745
U319Z2P,"Laurová",14.397533,50.061134
U184Z4P,"Škola Radlice",14.392871,50.059448
U957Z4P,"Radlická",14.389130,50.059055
U957Z3P,"Radlická",14.389416,50.058792
U184Z3P,"Škola Radlice",14.393484,50.059486
U319Z1P,"Laurová",14.398015,50.061146
U1044Z1P,"Braunova",14.402539,50.061882
U302Z1P,"Křížová",14.404707,50.063164
U1040Z1P,"Anděl",14.403631,50.071930
U901Z1P,"Zborovská",14.408092,50.072399
U739Z2P,"Štěpánská",14.423319,50.075600
U190Z2P,"I. P. Pavlova",14.431689,50.075405
U476Z2P,"Náměstí Míru",14.436891,50.074921
U354Z2P,"Jana Masaryka",14.441488,50.073071
U301Z2P,"Krymská",14.447816,50.071888
U627Z2P,"Ruská",14.451376,50.071228
U391Z2P,"Vršovické náměstí",14.454879,50.069035
U67Z2P,"Čechovo náměstí",14.459471,50.068066
U837Z3P,"Vozovna Žižkov",14.475183,50.091335
U512Z1P,"Ohrada",14.469093,50.090591
U34Z1P,"Biskupcova",14.468796,50.088543
U469Z1P,"Nákladové nádraží Žižkov",14.470428,50.084972
U469Z3P,"Nákladové nádraží Žižkov",14.469066,50.084141
U586Z1P,"Olšanská",14.464540,50.083424
U516Z1P,"Olšanské náměstí",14.457467,50.082489
U339Z1P,"Lipanská",14.453712,50.083916
U172Z1P,"Viktoria Žižkov",14.444494,50.085091
U142Z1P,"Hlavní nádraží",14.435114,50.086082
U401Z2P,"Myslíkova",14.417950,50.077965
U208Z2P,"Jiráskovo náměstí",14.414001,50.076145
U1040Z4P,"Anděl",14.404552,50.070976
U1040Z6P,"Na Knížecí",14.406961,50.067467
U553Z2P,"Plzeňka",14.408719,50.063465
U458Z2P,"Smíchovské nádraží",14.409199,50.061180
U337Z2P,"Lihovar",14.409142,50.051277
U914Z2P,"Zlíchov",14.407577,50.045776
U147Z6P,"Hlubočepy",14.404222,50.041714
U49Z4P,"Geologická",14.388430,50.036510
U1049Z4P,"K Barrandovu",14.382728,50.035080
U1050Z4P,"Chaplinovo náměstí",14.377220,50.035179
U1030Z2P,"Poliklinika Barrandov",14.373788,50.033680
U1019Z2P,"Sídliště Barrandov",14.367784,50.031464
U2701Z2P,"Náměstí Olgy Scheinpflugové",14.361432,50.029995
U2702Z2P,"Holyně",14.357871,50.026985
U2711Z2P,"Slivenec",14.351015,50.023533
U2711Z1P,"Slivenec",14.351832,50.023663
U2702Z1P,"Holyně",14.358238,50.027184
U2701Z1P,"Náměstí Olgy Scheinpflugové",14.362091,50.030441
U1019Z1P,"Sídliště Barrandov",14.368482,50.031502
U1030Z1P,"Poliklinika Barrandov",14.374547,50.034050
U1050Z3P,"Chaplinovo náměstí",14.377971,50.034916
U1049Z3P,"K Barrandovu",14.383430,50.035473
U49Z5P,"Geologická",14.389439,50.036255
U147Z5P,"Hlubočepy",14.404682,50.042213
U914Z1P,"Zlíchov",14.408097,50.046570
U337Z1P,"Lihovar",14.409225,50.051430
U458Z1P,"Smíchovské nádraží",14.409273,50.061462
U553Z1P,"Plzeňka",14.408817,50.063702
U1040Z5P,"Na Knížecí",14.406499,50.068520
U1040Z3P,"Anděl",14.404213,50.071712
U208Z1P,"Jiráskovo náměstí",14.414158,50.076252
U401Z1P,"Myslíkova",14.419049,50.078171
U142Z2P,"Hlavní nádraží",14.435928,50.085693
U172Z2P,"Viktoria Žižkov",14.445333,50.084938
U339Z2P,"Lipanská",14.453156,50.084007
U516Z2P,"Olšanské náměstí",14.457738,50.082451
U586Z2P,"Olšanská",14.465398,50.083477
U469Z4P,"Nákladové nádraží Žižkov",14.469828,50.084187
U469Z2P,"Nákladové nádraží Žižkov",14.470274,50.085629
U34Z2P,"Biskupcova",14.468635,50.089100
U512Z2P,"Ohrada",14.470092,50.090672
U837Z2P,"Vozovna Žižkov",14.474536,50.091492
U473Z3P,"Kubánské náměstí",14.477633,50.070503
U680Z1P,"Slavia - Nádraží Eden",14.470657,50.069553
U269Z1P,"Koh-i-noor",14.461409,50.067581
U508Z1P,"Bohemians",14.454185,50.066204
U463Z1P,"Nádraží Vršovice",14.447584,50.066113
U482Z5P,"Otakarova",14.440102,50.065491
U504Z1P,"Nuselské schody",14.435332,50.068310
U560Z1P,"Pod Karlovem",14.432828,50.069790
U45Z1P,"Bruselská",14.433302,50.073132
U190Z13P,"I. P. Pavlova",14.432514,50.075119
U480Z2P,"Náměstí Republiky",14.429256,50.088543
U87Z2P,"Dlouhá třída",14.427900,50.090538
U717Z4P,"Strossmayerovo náměstí",14.433307,50.098564
U841Z2P,"Veletržní palác",14.433183,50.101482
U841Z1P,"Veletržní palác",14.432813,50.102245
U717Z5P,"Strossmayerovo náměstí",14.433219,50.099220
U439Z1P,"Nábřeží Kapitána Jaroše",14.431299,50.096321
U87Z1P,"Dlouhá třída",14.427540,50.091671
U480Z1P,"Náměstí Republiky",14.430023,50.088783
U190Z14P,"I. P. Pavlova",14.432348,50.074993
U45Z2P,"Bruselská",14.433224,50.072880
U560Z2P,"Pod Karlovem",14.432657,50.068542
U504Z2P,"Nuselské schody",14.435752,50.068230
U463Z2P,"Nádraží Vršovice",14.448458,50.065994
U508Z2P,"Bohemians",14.456394,50.066467
U269Z2P,"Koh-i-noor",14.462255,50.067692
U680Z2P,"Slavia - Nádraží Eden",14.470544,50.069439
U473Z2P,"Kubánské náměstí",14.476859,50.070717
U807Z3P,"Ústřední dílny DP",14.532420,50.074657
U404Z1P,"Na Homoli",14.530346,50.076324
U358Z1P,"Malešická továrna",14.524714,50.077274
U1071Z9P,"Depo Hostivař",14.516915,50.076309
U1071Z11P,"Depo Hostivař",14.516312,50.077682
U70Z1P,"Nové Strašnice",14.510651,50.077885
U827Z3P,"Limuzská",14.504980,50.077606
U900Z1P,"Zborov - Strašnické divadlo",14.500311,50.077312
U690Z1P,"Solidarita",14.493829,50.076889
U848Z1P,"Vozovna Strašnice",14.489645,50.075558
U713Z1P,"Strašnická",14.490490,50.072601
U605Z1P,"Průběžná",14.485649,50.071434
U473Z1P,"Kubánské náměstí",14.477850,50.070885
U25Z2P,"Bertramka",14.392435,50.072239
U805Z2P,"U Zvonu",14.386522,50.071522
U254Z2P,"Klamovka",14.379142,50.070583
U240Z2P,"Kavalírka",14.370847,50.070118
U289Z4P,"Kotlářka",14.363593,50.069855
U289Z3P,"Kotlářka",14.362046,50.069950
U289Z1P,"Kotlářka",14.362923,50.069565
U240Z1P,"Kavalírka",14.370670,50.070034
U254Z1P,"Klamovka",14.380618,50.070702
U805Z1P,"U Zvonu",14.387218,50.071541
U25Z1P,"Bertramka",14.393291,50.072231
U876Z4P,"Albertov",14.420298,50.067822
U605Z2P,"Průběžná",14.486572,50.071594
U713Z2P,"Strašnická",14.491093,50.073017
U848Z2P,"Vozovna Strašnice",14.489814,50.075451
U1108Z2P,"Vinice",14.490484,50.076675
U690Z2P,"Solidarita",14.494723,50.076881
U900Z2P,"Zborov - Strašnické divadlo",14.501081,50.077282
U827Z4P,"Limuzská",14.505917,50.077599
U70Z2P,"Nové Strašnice",14.511354,50.077820
U1071Z8P,"Depo Hostivař",14.516887,50.076252
U1071Z12P,"Depo Hostivař",14.518378,50.077503
U358Z2P,"Malešická továrna",14.525237,50.077183
U404Z2P,"Na Homoli",14.530669,50.076138
U807Z4P,"Ústřední dílny DP",14.532196,50.074379
U144Z5P,"Starý Hloubětín",14.529913,50.104347
U755Z1P,"Nademlejnská",14.524666,50.103851
U775Z1P,"U Elektry",14.518557,50.103462
U691Z1P,"Podkovářská",14.513454,50.102951
U1401Z1P,"Kabešova",14.508271,50.102463
U134Z1P,"Nádraží Libeň",14.502190,50.102112
U348Z1P,"Arena Libeň jih",14.493353,50.103104
U1075Z1P,"Ocelářská",14.488072,50.103649
U12Z3P,"Balabenka",14.482921,50.104233
U529Z5P,"Palmovka",14.475851,50.104317
U321Z4P,"Vítězné náměstí",14.395535,50.100075
U350Z2P,"Lotyšská",14.395032,50.104179
U906Z4P,"Zelená",14.394638,50.107662
U126Z3P,"Nádraží Podbaba",14.394122,50.111931
U126Z2P,"Nádraží Podbaba",14.394086,50.111187
U906Z3P,"Zelená",14.394433,50.107246
U350Z1P,"Lotyšská",14.394914,50.103485
U321Z3P,"Vítězné náměstí",14.395490,50.099525
U529Z2P,"Palmovka",14.474789,50.103764
U12Z2P,"Balabenka",14.481877,50.104343
U1075Z2P,"Ocelářská",14.488770,50.103439
U348Z2P,"Arena Libeň jih",14.495833,50.102680
U134Z2P,"Nádraží Libeň",14.502460,50.101997
U1401Z2P,"Kabešova",14.508062,50.102318
U691Z2P,"Podkovářská",14.514375,50.102966
U775Z2P,"U Elektry",14.519443,50.103474
U755Z2P,"Nademlejnská",14.525597,50.103832
U144Z6P,"Starý Hloubětín",14.530208,50.104019
U694Z1P,"Spojovací",14.498599,50.091843
U266Z1P,"Kněžská luka",14.492968,50.092186
